SPX (S&P 500 INDEX),2548.18,+3.45,
Oct 10 2017 @ 15:02 ET,
Calls,Last Sale,Net,Bid,Ask,Vol,Open Int,Puts,Last Sale,Net,Bid,Ask,Vol,Open Int,
17 Oct 2310.00 (SPXW1711J2310-E),0.0,0.0,235.00,243.70,0,0,17 Oct 2310.00 (SPXW1711V2310-E),0.45,0.0,0.0,0.05,0,689,
17 Oct 2315.00 (SPXW1711J2315),0.0,0.0,230.00,238.70,0,0,17 Oct 2315.00 (SPXW1711V2315),0.25,0.0,0.0,0.05,0,259,
17 Oct 2315.00 (SPXW1711J2315-E),0.0,0.0,230.00,238.70,0,0,17 Oct 2315.00 (SPXW1711V2315-E),0.25,0.0,0.0,0.05,0,259,
17 Oct 2320.00 (SPXW1711J2320),228.53,0.0,225.00,233.70,0,1,17 Oct 2320.00 (SPXW1711V2320),0.05,0.0,0.0,0.05,0,686,
17 Oct 2320.00 (SPXW1711J2320-E),228.53,0.0,225.00,233.70,0,1,17 Oct 2320.00 (SPXW1711V2320-E),0.05,0.0,0.0,0.05,0,686,
17 Oct 2325.00 (SPXW1711J2325),223.48,0.0,220.00,228.70,0,1,17 Oct 2325.00 (SPXW1711V2325),0.05,0.0,0.0,0.05,0,398,
17 Oct 2325.00 (SPXW1711J2325-E),223.48,0.0,220.00,228.70,0,1,17 Oct 2325.00 (SPXW1711V2325-E),0.05,0.0,0.0,0.05,0,398,
17 Oct 2330.00 (SPXW1711J2330),0.0,0.0,215.00,223.70,0,0,17 Oct 2330.00 (SPXW1711V2330),0.05,0.0,0.0,0.05,0,216,
17 Oct 2330.00 (SPXW1711J2330-E),0.0,0.0,215.00,223.70,0,0,17 Oct 2330.00 (SPXW1711V2330-E),0.05,0.0,0.0,0.05,0,216,
17 Oct 2335.00 (SPXW1711J2335),0.0,0.0,209.80,218.70,0,0,17 Oct 2335.00 (SPXW1711V2335),0.10,0.0,0.0,0.05,0,191,
17 Oct 2335.00 (SPXW1711J2335-E),0.0,0.0,209.80,218.70,0,0,17 Oct 2335.00 (SPXW1711V2335-E),0.10,0.0,0.0,0.05,0,191,
17 Oct 2340.00 (SPXW1711J2340),0.0,0.0,204.80,213.70,0,0,17 Oct 2340.00 (SPXW1711V2340),0.05,0.0,0.0,0.05,0,1423,
17 Oct 2340.00 (SPXW1711J2340-E),0.0,0.0,204.80,213.70,0,0,17 Oct 2340.00 (SPXW1711V2340-E),0.05,0.0,0.0,0.05,0,1423,
17 Oct 2345.00 (SPXW1711J2345),0.0,0.0,199.80,208.70,0,0,17 Oct 2345.00 (SPXW1711V2345),0.03,0.0,0.0,0.05,0,39,
17 Oct 2345.00 (SPXW1711J2345-E),0.0,0.0,199.80,208.70,0,0,17 Oct 2345.00 (SPXW1711V2345-E),0.03,0.0,0.0,0.05,0,39,
17 Oct 2350.00 (SPXW1711J2350),0.0,0.0,194.80,203.90,0,0,17 Oct 2350.00 (SPXW1711V2350),0.05,0.0,0.0,0.05,0,4647,
17 Oct 2350.00 (SPXW1711J2350-E),0.0,0.0,194.80,203.90,0,0,17 Oct 2350.00 (SPXW1711V2350-E),0.05,0.0,0.0,0.05,0,4647,
17 Oct 2355.00 (SPXW1711J2355),0.0,0.0,189.80,198.90,0,0,17 Oct 2355.00 (SPXW1711V2355),0.05,0.0,0.0,0.05,0,6058,
17 Oct 2355.00 (SPXW1711J2355-E),0.0,0.0,189.80,198.90,0,0,17 Oct 2355.00 (SPXW1711V2355-E),0.05,0.0,0.0,0.05,0,6058,
17 Oct 2360.00 (SPXW1711J2360),113.11,0.0,184.80,193.90,0,5,17 Oct 2360.00 (SPXW1711V2360),0.10,0.0,0.0,0.05,0,5359,
17 Oct 2360.00 (SPXW1711J2360-E),113.11,0.0,184.80,193.90,0,5,17 Oct 2360.00 (SPXW1711V2360-E),0.10,0.0,0.0,0.05,0,5359,
17 Oct 2365.00 (SPXW1711J2365),0.0,0.0,179.80,188.90,0,0,17 Oct 2365.00 (SPXW1711V2365),0.02,0.0,0.0,0.05,0,104,
17 Oct 2365.00 (SPXW1711J2365-E),0.0,0.0,179.80,188.90,0,0,17 Oct 2365.00 (SPXW1711V2365-E),0.02,0.0,0.0,0.05,0,104,
17 Oct 2370.00 (SPXW1711J2370),0.0,0.0,174.80,183.90,0,0,17 Oct 2370.00 (SPXW1711V2370),0.10,0.0,0.0,0.05,0,1877,
17 Oct 2370.00 (SPXW1711J2370-E),0.0,0.0,174.80,183.90,0,0,17 Oct 2370.00 (SPXW1711V2370-E),0.10,0.0,0.0,0.05,0,1877,
17 Oct 2375.00 (SPXW1711J2375),124.30,0.0,169.80,178.90,0,4,17 Oct 2375.00 (SPXW1711V2375),0.08,0.0,0.0,0.05,0,1003,
17 Oct 2375.00 (SPXW1711J2375-E),124.30,0.0,169.80,178.90,0,4,17 Oct 2375.00 (SPXW1711V2375-E),0.08,0.0,0.0,0.05,0,1003,
17 Oct 2380.00 (SPXW1711J2380),167.15,0.0,164.80,173.90,0,9,17 Oct 2380.00 (SPXW1711V2380),0.05,-0.05,0.0,0.05,3,350,
17 Oct 2380.00 (SPXW1711J2380-E),167.15,0.0,164.80,173.90,0,9,17 Oct 2380.00 (SPXW1711V2380-E),0.05,-0.05,0.0,0.05,3,350,
17 Oct 2385.00 (SPXW1711J2385),114.67,0.0,159.80,168.90,0,20,17 Oct 2385.00 (SPXW1711V2385),0.45,0.0,0.0,0.05,0,1014,
17 Oct 2385.00 (SPXW1711J2385-E),114.67,0.0,159.80,168.90,0,20,17 Oct 2385.00 (SPXW1711V2385-E),0.45,0.0,0.0,0.05,0,1014,
17 Oct 2390.00 (SPXW1711J2390),105.15,0.0,154.80,163.90,0,12,17 Oct 2390.00 (SPXW1711V2390),0.08,0.0,0.0,0.05,0,3521,
17 Oct 2390.00 (SPXW1711J2390-E),105.15,0.0,154.80,163.90,0,12,17 Oct 2390.00 (SPXW1711V2390-E),0.08,0.0,0.0,0.05,0,3521,
17 Oct 2395.00 (SPXW1711J2395),155.84,0.0,150.10,158.90,0,14,17 Oct 2395.00 (SPXW1711V2395),0.02,-0.08,0.0,0.05,2,389,
17 Oct 2395.00 (SPXW1711J2395-E),155.84,0.0,150.10,158.90,0,14,17 Oct 2395.00 (SPXW1711V2395-E),0.02,-0.08,0.0,0.05,2,389,
17 Oct 2400.00 (SPXW1711J2400),101.80,0.0,144.50,153.60,0,32,17 Oct 2400.00 (SPXW1711V2400),0.10,0.0,0.0,0.05,0,4087,
17 Oct 2400.00 (SPXW1711J2400-E),101.80,0.0,144.50,153.60,0,32,17 Oct 2400.00 (SPXW1711V2400-E),0.10,0.0,0.0,0.05,0,4087,
17 Oct 2405.00 (SPXW1711J2405),141.55,0.0,139.50,148.60,0,14,17 Oct 2405.00 (SPXW1711V2405),0.10,0.0,0.0,0.05,0,913,
17 Oct 2405.00 (SPXW1711J2405-E),141.55,0.0,139.50,148.60,0,14,17 Oct 2405.00 (SPXW1711V2405-E),0.10,0.0,0.0,0.05,0,913,
17 Oct 2410.00 (SPXW1711J2410),124.67,0.0,134.50,143.60,0,21,17 Oct 2410.00 (SPXW1711V2410),0.10,0.0,0.0,0.05,0,2183,
17 Oct 2410.00 (SPXW1711J2410-E),124.67,0.0,134.50,143.60,0,21,17 Oct 2410.00 (SPXW1711V2410-E),0.10,0.0,0.0,0.05,0,2183,
17 Oct 2415.00 (SPXW1711J2415),132.15,0.0,129.50,138.60,0,39,17 Oct 2415.00 (SPXW1711V2415),0.15,0.0,0.0,0.05,0,2057,
17 Oct 2415.00 (SPXW1711J2415-E),132.15,0.0,129.50,138.60,0,39,17 Oct 2415.00 (SPXW1711V2415-E),0.15,0.0,0.0,0.05,0,2057,
17 Oct 2420.00 (SPXW1711J2420),87.84,0.0,124.50,133.60,0,25,17 Oct 2420.00 (SPXW1711V2420),0.08,0.0,0.0,0.05,0,2133,
17 Oct 2420.00 (SPXW1711J2420-E),87.84,0.0,124.50,133.60,0,25,17 Oct 2420.00 (SPXW1711V2420-E),0.08,0.0,0.0,0.05,0,2133,
17 Oct 2425.00 (SPXW1711J2425),96.15,0.0,119.50,128.60,0,49,17 Oct 2425.00 (SPXW1711V2425),0.05,-0.10,0.0,0.05,679,7935,
17 Oct 2425.00 (SPXW1711J2425-E),96.15,0.0,119.50,128.60,0,49,17 Oct 2425.00 (SPXW1711V2425-E),0.05,-0.10,0.0,0.05,679,7935,
17 Oct 2430.00 (SPXW1711J2430),104.07,0.0,114.60,122.30,0,39,17 Oct 2430.00 (SPXW1711V2430),0.05,-0.10,0.0,0.05,435,1335,
17 Oct 2430.00 (SPXW1711J2430-E),104.07,0.0,114.60,122.30,0,39,17 Oct 2430.00 (SPXW1711V2430-E),0.05,-0.10,0.0,0.05,435,1335,
17 Oct 2435.00 (SPXW1711J2435),115.70,0.0,109.50,117.30,0,14,17 Oct 2435.00 (SPXW1711V2435),0.05,-0.10,0.0,0.05,58,2080,
17 Oct 2435.00 (SPXW1711J2435-E),115.70,0.0,109.50,117.30,0,14,17 Oct 2435.00 (SPXW1711V2435-E),0.05,-0.10,0.0,0.05,58,2080,
17 Oct 2440.00 (SPXW1711J2440),107.55,0.0,104.90,112.30,0,44,17 Oct 2440.00 (SPXW1711V2440),0.05,-0.12,0.0,0.05,54,5675,
17 Oct 2440.00 (SPXW1711J2440-E),107.55,0.0,104.90,112.30,0,44,17 Oct 2440.00 (SPXW1711V2440-E),0.05,-0.12,0.0,0.05,54,5675,
17 Oct 2445.00 (SPXW1711J2445),103.10,+17.38,99.80,107.50,2,20,17 Oct 2445.00 (SPXW1711V2445),0.05,-0.10,0.0,0.05,162,592,
17 Oct 2445.00 (SPXW1711J2445-E),103.10,+17.38,99.80,107.50,2,20,17 Oct 2445.00 (SPXW1711V2445-E),0.05,-0.10,0.0,0.05,162,592,
17 Oct 2450.00 (SPXW1711J2450),96.54,0.0,94.90,102.50,0,95,17 Oct 2450.00 (SPXW1711V2450),0.05,-0.12,0.0,0.05,125,2483,
17 Oct 2450.00 (SPXW1711J2450-E),96.54,0.0,94.90,102.50,0,95,17 Oct 2450.00 (SPXW1711V2450-E),0.05,-0.12,0.0,0.05,125,2483,
17 Oct 2455.00 (SPXW1711J2455),96.05,0.0,89.80,97.40,0,141,17 Oct 2455.00 (SPXW1711V2455),0.03,-0.17,0.0,0.05,143,1032,
17 Oct 2455.00 (SPXW1711J2455-E),96.05,0.0,89.80,97.40,0,141,17 Oct 2455.00 (SPXW1711V2455-E),0.03,-0.17,0.0,0.05,143,1032,
17 Oct 2460.00 (SPXW1711J2460),88.10,+10.87,84.80,92.50,2,61,17 Oct 2460.00 (SPXW1711V2460),0.05,-0.15,0.0,0.05,314,4247,
17 Oct 2460.00 (SPXW1711J2460-E),88.10,+10.87,84.80,92.50,2,61,17 Oct 2460.00 (SPXW1711V2460-E),0.05,-0.15,0.0,0.05,314,4247,
17 Oct 2465.00 (SPXW1711J2465),83.67,0.0,79.80,87.60,0,28,17 Oct 2465.00 (SPXW1711V2465),0.05,-0.15,0.0,0.05,517,2444,
17 Oct 2465.00 (SPXW1711J2465-E),83.67,0.0,79.80,87.60,0,28,17 Oct 2465.00 (SPXW1711V2465-E),0.05,-0.15,0.0,0.05,517,2444,
17 Oct 2470.00 (SPXW1711J2470),80.80,+4.09,74.80,82.60,1,376,17 Oct 2470.00 (SPXW1711V2470),0.05,-0.22,0.0,0.05,217,1411,
17 Oct 2470.00 (SPXW1711J2470-E),80.80,+4.09,74.80,82.60,1,376,17 Oct 2470.00 (SPXW1711V2470-E),0.05,-0.22,0.0,0.05,217,1411,
17 Oct 2475.00 (SPXW1711J2475),71.09,0.0,69.90,77.40,0,38,17 Oct 2475.00 (SPXW1711V2475),0.05,-0.20,0.05,0.10,291,3846,
17 Oct 2475.00 (SPXW1711J2475-E),71.09,0.0,69.90,77.40,0,38,17 Oct 2475.00 (SPXW1711V2475-E),0.05,-0.20,0.05,0.10,291,3846,
17 Oct 2480.00 (SPXW1711J2480),63.30,0.0,64.90,72.40,0,115,17 Oct 2480.00 (SPXW1711V2480),0.05,-0.25,0.05,0.10,132,1589,
17 Oct 2480.00 (SPXW1711J2480-E),63.30,0.0,64.90,72.40,0,115,17 Oct 2480.00 (SPXW1711V2480-E),0.05,-0.25,0.05,0.10,132,1589,
17 Oct 2485.00 (SPXW1711J2485),63.68,0.0,59.90,67.40,0,67,17 Oct 2485.00 (SPXW1711V2485),0.07,-0.28,0.05,0.10,269,1865,
17 Oct 2485.00 (SPXW1711J2485-E),63.68,0.0,59.90,67.40,0,67,17 Oct 2485.00 (SPXW1711V2485-E),0.07,-0.28,0.05,0.10,269,1865,
17 Oct 2490.00 (SPXW1711J2490),59.90,+6.64,54.90,62.40,4,313,17 Oct 2490.00 (SPXW1711V2490),0.06,-0.29,0.05,0.10,112,1935,
17 Oct 2490.00 (SPXW1711J2490-E),59.90,+6.64,54.90,62.40,4,313,17 Oct 2490.00 (SPXW1711V2490-E),0.06,-0.29,0.05,0.10,112,1935,
17 Oct 2495.00 (SPXW1711J2495),51.28,0.0,49.80,57.30,0,63,17 Oct 2495.00 (SPXW1711V2495),0.07,-0.33,0.05,0.10,2491,6057,
17 Oct 2495.00 (SPXW1711J2495-E),51.28,0.0,49.80,57.30,0,63,17 Oct 2495.00 (SPXW1711V2495-E),0.07,-0.33,0.05,0.10,2491,6057,
17 Oct 2500.00 (SPXW1711J2500),50.28,0.0,45.10,52.60,0,468,17 Oct 2500.00 (SPXW1711V2500),0.10,-0.35,0.05,0.10,5346,5447,
